material,category,item_type,price,unit,city,locality,source,source_url,collection_date,synthetic
Mix Plastic,Plastic,mixed,7,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Soft Plastic,Plastic,soft,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Hard Plastic,Plastic,hard,5,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
PET Bottle,Plastic,bottle,20,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Plastic Jar (5 Litre),Plastic,jar,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Plastic Jar (15 Litre),Plastic,jar,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Plastic Can (20 Litre),Plastic,can,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Plastic Can (25 Litre),Plastic,can,15,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Plastic Can (50 Litre),Plastic,can,14,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Plastic Drum (200 Litre),Plastic,drum,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
PVC Pipe,Plastic,pipe,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
