material_code,city,material_category,sub_category,unit,buying_price_informal,quoted_price_formal,spread_pct,market_range_low,market_range_high,chg_7d_pct,chg_30d_pct,trend_7d,as_of_date
BAT-BTN,Salt Lake (Bidhannagar),Battery,Button / coin cell,kg,29.07,35.94,23.63,26.16,38.82,7.47,2.54,up,2026-08-31
BAT-BTN,New Town,Battery,Button / coin cell,kg,31.27,38.66,23.63,28.14,41.75,3.13,-1.64,up,2026-08-31
BAT-BTN,Park Street,Battery,Button / coin cell,kg,28.35,35.05,23.63,25.52,37.85,10.01,2.38,up,2026-08-31
BAT-BTN,Ballygunge,Battery,Button / coin cell,kg,27.05,33.44,23.62,24.35,36.12,5.62,-9.17,up,2026-08-31
BAT-BTN,Gariahat,Battery,Button / coin cell,kg,29.52,36.5,23.64,26.57,39.42,3.83,-1.53,up,2026-08-31
BAT-BTN,Behala,Battery,Button / coin cell,kg,29.87,36.93,23.64,26.88,39.88,2.33,1.12,up,2026-08-31
BAT-LI,Tollygunge,Battery,Li-ion laptop / phone pack,kg,74.9,96.62,29.0,67.41,104.35,-4.82,-9.67,down,2026-08-31
BAT-LI,Dum Dum,Battery,Li-ion laptop / phone pack,kg,84.29,108.74,29.01,75.86,117.44,3.42,-2.54,up,2026-08-31
BAT-LI,Rajarhat,Battery,Li-ion laptop / phone pack,kg,75.96,97.99,29.0,68.36,105.83,-2.16,-3.78,down,2026-08-31
BAT-LI,Howrah,Battery,Li-ion laptop / phone pack,kg,78.16,100.83,29.0,70.34,108.9,3.28,0.17,up,2026-08-31
BAT-LI,Salt Lake (Bidhannagar),Battery,Li-ion laptop / phone pack,kg,81.44,105.06,29.0,73.3,113.46,-4.87,2.21,down,2026-08-31
BAT-LI,New Town,Battery,Li-ion laptop / phone pack,kg,80.18,103.43,29.0,72.16,111.7,0.96,3.15,up,2026-08-31
BAT-NIMH,Park Street,Battery,Ni-MH,kg,52.39,62.52,19.34,47.15,67.52,8.58,-2.66,up,2026-08-31
BAT-NIMH,Ballygunge,Battery,Ni-MH,kg,55.74,66.52,19.34,50.17,71.84,-2.82,-0.36,down,2026-08-31
BAT-NIMH,Gariahat,Battery,Ni-MH,kg,49.32,58.86,19.34,44.39,63.57,1.42,-0.68,up,2026-08-31
BAT-NIMH,Behala,Battery,Ni-MH,kg,50.46,60.22,19.34,45.41,65.04,-2.7,-4.72,down,2026-08-31
BAT-NIMH,Tollygunge,Battery,Ni-MH,kg,53.91,64.33,19.33,48.52,69.48,3.12,4.62,up,2026-08-31
BAT-NIMH,Dum Dum,Battery,Ni-MH,kg,57.56,68.69,19.34,51.8,74.19,8.71,12.03,up,2026-08-31
BAT-PB,Rajarhat,Battery,Lead-acid,kg,65.9,74.39,12.88,59.31,80.34,2.49,0.05,up,2026-08-31
BAT-PB,Howrah,Battery,Lead-acid,kg,70.45,79.53,12.89,63.4,85.89,-0.37,-3.53,flat,2026-08-31
BAT-PB,Salt Lake (Bidhannagar),Battery,Lead-acid,kg,61.12,69.0,12.89,55.01,74.52,-1.48,-6.8,down,2026-08-31
BAT-PB,New Town,Battery,Lead-acid,kg,67.66,76.38,12.89,60.89,82.49,5.65,4.12,up,2026-08-31
BAT-PB,Park Street,Battery,Lead-acid,kg,70.65,79.76,12.89,63.59,86.14,3.85,2.58,up,2026-08-31
BAT-PB,Ballygunge,Battery,Lead-acid,kg,68.74,77.6,12.89,61.87,83.81,3.06,0.84,up,2026-08-31
CBL-AL,Gariahat,Cable,Aluminium cable,kg,97.07,103.42,6.54,87.36,111.69,-0.15,-1.33,flat,2026-08-31
CBL-AL,Behala,Cable,Aluminium cable,kg,108.74,115.86,6.55,97.87,125.13,1.67,1.93,up,2026-08-31
CBL-AL,Tollygunge,Cable,Aluminium cable,kg,99.06,105.54,6.54,89.15,113.98,-2.81,2.9,down,2026-08-31
CBL-AL,Dum Dum,Cable,Aluminium cable,kg,99.65,106.17,6.54,89.68,114.66,-0.24,-5.16,flat,2026-08-31
CBL-AL,Rajarhat,Cable,Aluminium cable,kg,106.26,113.22,6.55,95.63,122.28,7.02,2.37,up,2026-08-31
CBL-AL,Howrah,Cable,Aluminium cable,kg,107.48,114.52,6.55,96.73,123.68,6.81,5.05,up,2026-08-31
CBL-ARM,Salt Lake (Bidhannagar),Cable,Armoured / data cable,kg,128.19,137.98,7.64,115.37,149.02,4.42,2.33,up,2026-08-31
CBL-ARM,New Town,Cable,Armoured / data cable,kg,143.5,154.46,7.64,129.15,166.82,9.54,2.76,up,2026-08-31
CBL-ARM,Park Street,Cable,Armoured / data cable,kg,131.45,141.49,7.64,118.3,152.81,1.46,3.12,up,2026-08-31
CBL-ARM,Ballygunge,Cable,Armoured / data cable,kg,130.24,140.19,7.64,117.22,151.41,7.15,5.67,up,2026-08-31
CBL-ARM,Gariahat,Cable,Armoured / data cable,kg,133.73,143.94,7.63,120.36,155.46,-0.57,1.43,flat,2026-08-31
CBL-ARM,Behala,Cable,Armoured / data cable,kg,134.28,144.54,7.64,120.85,156.1,4.19,7.18,up,2026-08-31
CBL-CU,Tollygunge,Cable,Copper household wire,kg,253.91,267.76,5.45,228.52,289.18,3.19,-3.11,up,2026-08-31
CBL-CU,Dum Dum,Cable,Copper household wire,kg,294.12,310.17,5.46,264.71,334.98,4.81,1.59,up,2026-08-31
CBL-CU,Rajarhat,Cable,Copper household wire,kg,262.11,276.41,5.46,235.9,298.52,2.57,2.33,up,2026-08-31
CBL-CU,Howrah,Cable,Copper household wire,kg,269.91,284.63,5.45,242.92,307.4,6.09,3.61,up,2026-08-31
CBL-CU,Salt Lake (Bidhannagar),Cable,Copper household wire,kg,258.58,272.69,5.46,232.72,294.51,-7.43,-6.48,down,2026-08-31
CBL-CU,New Town,Cable,Copper household wire,kg,274.27,289.23,5.45,246.84,312.37,2.53,-1.73,up,2026-08-31
CBL-MIX,Park Street,Cable,Mixed insulated,kg,77.24,84.82,9.81,69.52,91.61,7.26,3.86,up,2026-08-31
CBL-MIX,Ballygunge,Cable,Mixed insulated,kg,78.06,85.73,9.83,70.25,92.59,-5.66,-5.12,down,2026-08-31
CBL-MIX,Gariahat,Cable,Mixed insulated,kg,74.8,82.15,9.83,67.32,88.72,9.21,-0.16,up,2026-08-31
CBL-MIX,Behala,Cable,Mixed insulated,kg,77.51,85.12,9.82,69.76,91.93,7.16,3.0,up,2026-08-31
CBL-MIX,Tollygunge,Cable,Mixed insulated,kg,80.77,88.7,9.82,72.69,95.8,3.98,5.93,up,2026-08-31
CBL-MIX,Dum Dum,Cable,Mixed insulated,kg,80.43,88.33,9.82,72.39,95.4,4.81,9.03,up,2026-08-31
CRT-CTV,Rajarhat,CRT,Colour TV tube,kg,12.73,16.99,33.46,11.46,18.35,0.0,-1.24,flat,2026-08-31
CRT-CTV,Howrah,CRT,Colour TV tube,kg,13.82,18.44,33.43,12.44,19.92,-0.43,0.0,flat,2026-08-31
CRT-CTV,Salt Lake (Bidhannagar),CRT,Colour TV tube,kg,12.67,16.91,33.46,11.4,18.26,-0.55,-2.09,flat,2026-08-31
CRT-CTV,New Town,CRT,Colour TV tube,kg,13.03,17.39,33.46,11.73,18.78,0.62,1.24,flat,2026-08-31
CRT-CTV,Park Street,CRT,Colour TV tube,kg,13.51,18.03,33.46,12.16,19.47,1.66,0.0,up,2026-08-31
CRT-CTV,Ballygunge,CRT,Colour TV tube,kg,13.61,18.16,33.43,12.25,19.61,1.64,0.52,up,2026-08-31
CRT-MON,Gariahat,CRT,Monochrome monitor tube,kg,8.81,11.57,31.33,7.93,12.5,-0.23,-3.5,flat,2026-08-31
CRT-MON,Behala,CRT,Monochrome monitor tube,kg,9.88,12.97,31.28,8.89,14.01,1.65,-1.3,up,2026-08-31
CRT-MON,Tollygunge,CRT,Monochrome monitor tube,kg,9.21,12.09,31.27,8.29,13.06,1.1,0.66,up,2026-08-31
CRT-MON,Dum Dum,CRT,Monochrome monitor tube,kg,8.86,11.63,31.26,7.97,12.56,-3.28,-3.49,down,2026-08-31
CRT-MON,Rajarhat,CRT,Monochrome monitor tube,kg,9.28,12.18,31.25,8.35,13.15,-2.62,-4.82,down,2026-08-31
CRT-MON,Howrah,CRT,Monochrome monitor tube,kg,9.62,12.63,31.29,8.66,13.64,-2.83,-3.8,down,2026-08-31
CRT-YOK,Salt Lake (Bidhannagar),CRT,Deflection yoke,kg,38.61,44.44,15.1,34.75,48.0,-10.87,-8.27,down,2026-08-31
CRT-YOK,New Town,CRT,Deflection yoke,kg,46.91,53.99,15.09,42.22,58.31,4.43,4.08,up,2026-08-31
CRT-YOK,Park Street,CRT,Deflection yoke,kg,40.07,46.12,15.1,36.06,49.81,-3.95,-6.4,down,2026-08-31
CRT-YOK,Ballygunge,CRT,Deflection yoke,kg,41.81,48.12,15.09,37.63,51.97,0.5,-4.22,flat,2026-08-31
CRT-YOK,Gariahat,CRT,Deflection yoke,kg,44.45,51.16,15.1,40.01,55.25,-0.94,-3.68,down,2026-08-31
CRT-YOK,Behala,CRT,Deflection yoke,kg,42.68,49.12,15.09,38.41,53.05,-5.53,-6.57,down,2026-08-31
LCD-BLA,Tollygunge,LCD/LED panel,Backlight assembly,kg,41.75,49.47,18.49,37.58,53.43,1.04,4.45,up,2026-08-31
LCD-BLA,Dum Dum,LCD/LED panel,Backlight assembly,kg,47.29,56.03,18.48,42.56,60.51,6.29,4.32,up,2026-08-31
LCD-BLA,Rajarhat,LCD/LED panel,Backlight assembly,kg,41.56,49.24,18.48,37.4,53.18,2.69,6.7,up,2026-08-31
LCD-BLA,Howrah,LCD/LED panel,Backlight assembly,kg,41.01,48.59,18.48,36.91,52.48,-1.94,-4.05,down,2026-08-31
LCD-BLA,Salt Lake (Bidhannagar),LCD/LED panel,Backlight assembly,kg,42.54,50.4,18.48,38.29,54.43,6.86,-5.55,up,2026-08-31
LCD-BLA,New Town,LCD/LED panel,Backlight assembly,kg,42.31,50.13,18.48,38.08,54.14,-0.94,-2.51,down,2026-08-31
LCD-LAP,Park Street,LCD/LED panel,Laptop panel,kg,34.74,42.67,22.83,31.27,46.08,-1.7,-6.91,down,2026-08-31
LCD-LAP,Ballygunge,LCD/LED panel,Laptop panel,kg,38.95,47.84,22.82,35.06,51.67,-1.29,-3.92,down,2026-08-31
LCD-LAP,Gariahat,LCD/LED panel,Laptop panel,kg,35.33,43.4,22.84,31.8,46.87,0.68,-5.94,flat,2026-08-31
