price_id,date,material_code,material_category,sub_category,city,unit,buying_price_informal,quoted_price_formal,spread_pct,market_range_low,market_range_high,benchmark_recycler_id,source
PRC0087536,2026-03-01,BAT-BTN,Battery,Button / coin cell,Aurangabad,kg,29.25,36.11,23.45,26.32,39.0,REC1038,synthetic_calibrated
PRC0085343,2026-03-01,BAT-BTN,Battery,Button / coin cell,Mumbai,kg,30.05,37.1,23.46,27.04,40.07,REC1003,synthetic_calibrated
PRC0086805,2026-03-01,BAT-BTN,Battery,Button / coin cell,Nagpur,kg,27.26,33.66,23.48,24.53,36.35,REC1001,synthetic_calibrated
PRC0086074,2026-03-01,BAT-BTN,Battery,Button / coin cell,Nashik,kg,28.67,35.4,23.47,25.8,38.23,REC1042,synthetic_calibrated
PRC0084612,2026-03-01,BAT-BTN,Battery,Button / coin cell,Pimpri-Chinchwad,kg,31.01,38.29,23.48,27.91,41.35,REC1009,synthetic_calibrated
PRC0083881,2026-03-01,BAT-BTN,Battery,Button / coin cell,Pune,kg,30.73,37.94,23.46,27.66,40.98,REC1000,synthetic_calibrated
PRC0074378,2026-03-01,BAT-LI,Battery,Li-ion laptop / phone pack,Aurangabad,kg,78.55,101.18,28.81,70.69,109.27,REC1038,synthetic_calibrated
PRC0072185,2026-03-01,BAT-LI,Battery,Li-ion laptop / phone pack,Mumbai,kg,83.47,107.51,28.8,75.12,116.11,REC1003,synthetic_calibrated
PRC0073647,2026-03-01,BAT-LI,Battery,Li-ion laptop / phone pack,Nagpur,kg,78.85,101.56,28.8,70.96,109.68,REC1001,synthetic_calibrated
PRC0072916,2026-03-01,BAT-LI,Battery,Li-ion laptop / phone pack,Nashik,kg,80.36,103.51,28.81,72.32,111.79,REC1042,synthetic_calibrated
PRC0071454,2026-03-01,BAT-LI,Battery,Li-ion laptop / phone pack,Pimpri-Chinchwad,kg,82.18,105.85,28.8,73.96,114.32,REC1009,synthetic_calibrated
PRC0070723,2026-03-01,BAT-LI,Battery,Li-ion laptop / phone pack,Pune,kg,79.26,102.09,28.8,71.33,110.26,REC1000,synthetic_calibrated
PRC0083150,2026-03-01,BAT-NIMH,Battery,Ni-MH,Aurangabad,kg,51.21,61.04,19.2,46.09,65.92,REC1038,synthetic_calibrated
PRC0080957,2026-03-01,BAT-NIMH,Battery,Ni-MH,Mumbai,kg,54.83,65.36,19.2,49.35,70.59,REC1003,synthetic_calibrated
PRC0082419,2026-03-01,BAT-NIMH,Battery,Ni-MH,Nagpur,kg,49.62,59.15,19.21,44.66,63.88,REC1001,synthetic_calibrated
PRC0081688,2026-03-01,BAT-NIMH,Battery,Ni-MH,Nashik,kg,52.84,62.99,19.21,47.56,68.03,REC1042,synthetic_calibrated
PRC0080226,2026-03-01,BAT-NIMH,Battery,Ni-MH,Pimpri-Chinchwad,kg,57.07,68.03,19.2,51.36,73.47,REC1009,synthetic_calibrated
PRC0079495,2026-03-01,BAT-NIMH,Battery,Ni-MH,Pune,kg,56.45,67.29,19.2,50.81,72.67,REC1000,synthetic_calibrated
PRC0078764,2026-03-01,BAT-PB,Battery,Lead-acid,Aurangabad,kg,66.88,75.44,12.8,60.19,81.48,REC1038,synthetic_calibrated
PRC0076571,2026-03-01,BAT-PB,Battery,Lead-acid,Mumbai,kg,73.46,82.86,12.8,66.11,89.49,REC1003,synthetic_calibrated
PRC0078033,2026-03-01,BAT-PB,Battery,Lead-acid,Nagpur,kg,66.07,74.53,12.8,59.46,80.49,REC1001,synthetic_calibrated
PRC0077302,2026-03-01,BAT-PB,Battery,Lead-acid,Nashik,kg,67.33,75.95,12.8,60.6,82.03,REC1042,synthetic_calibrated
PRC0075840,2026-03-01,BAT-PB,Battery,Lead-acid,Pimpri-Chinchwad,kg,67.05,75.63,12.8,60.34,81.68,REC1009,synthetic_calibrated
PRC0075109,2026-03-01,BAT-PB,Battery,Lead-acid,Pune,kg,68.3,77.04,12.8,61.47,83.2,REC1000,synthetic_calibrated
PRC0065606,2026-03-01,CBL-AL,Cable,Aluminium cable,Aurangabad,kg,97.79,104.1,6.45,88.01,112.43,REC1038,synthetic_calibrated
PRC0063413,2026-03-01,CBL-AL,Cable,Aluminium cable,Mumbai,kg,105.14,111.93,6.46,94.63,120.88,REC1003,synthetic_calibrated
PRC0064875,2026-03-01,CBL-AL,Cable,Aluminium cable,Nagpur,kg,99.79,106.23,6.45,89.81,114.73,REC1001,synthetic_calibrated
