recycler_id,name,facility_type,city,industrial_estate,lat,lng,materials_accepted,cpcb_registration_no,authorisation_status,authorisation_valid_till,contact_phone,offered_rate_multiplier,pickup_available,min_lot_weight_kg,service_area_radius_km,avg_settlement_hours,rating,capacity_tonnes_per_month,verified_on,is_synthetic
REC1000,Sahyadri Materials Solutions Pvt Ltd,authorised_aggregator,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.588094,88.41305,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2019/4437,expiring_soon,2026-10-05,+91-9421159385,0.96,True,0,15,24,3.7,350,2025-03-13,True
REC1001,Trimurti Recyclers Associates,authorised_recycler,New Town,New Town,22.58765,88.471632,Cable|Motor & magnet-bearing|PCB,MH/EW/2019/4077,active,2029-01-13,+91-9240610412,1.038,True,5,35,72,3.9,200,2026-07-27,True
REC1002,Shree Enviro Pvt Ltd,authorised_aggregator,Park Street,Park Street,22.553365,88.354167,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2022/3424,active,2028-11-21,+91-9553016330,1.025,True,10,12,6,4.0,50,2026-05-21,True
REC1003,EcoCircle Scrap Solutions Pvt Ltd,authorised_aggregator,Ballygunge,Ballygunge,22.531921999999998,88.361469,Battery|CRT|Cable|LCD/LED panel|PCB,MH/EW/2024/3107,active,2027-05-05,+91-9887069161,0.941,False,5,35,2,4.3,200,2025-08-06,True
REC1004,Vishwa Materials Pvt Ltd,authorised_aggregator,Gariahat,Gariahat,22.517819,88.35969800000001,Battery|CRT|LCD/LED panel,MH/EW/2020/5310,suspended,2027-08-21,+91-9703933839,0.919,True,50,20,6,4.6,50,2025-12-11,True
REC1005,Jai Materials Enterprises,authorised_aggregator,Behala,Behala,22.495986,88.314954,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2024/9826,expiring_soon,2026-11-08,+91-9332780068,1.007,False,10,12,6,4.4,200,2026-02-11,True
REC1006,EcoCircle Urban Mining Pvt Ltd,authorised_recycler,Tollygunge,Tollygunge,22.493665,88.342388,Cable|LCD/LED panel|Motor & magnet-bearing,MH/EW/2023/9930,active,2027-05-04,+91-9239167153,0.99,True,50,25,2,4.2,80,2025-11-25,True
REC1007,Green Recyclers LLP,authorised_recycler,Dum Dum,Dum Dum,22.643499,88.43164900000001,Battery|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2022/2839,active,2028-04-04,+91-9975170415,1.01,False,10,12,2,4.7,200,2025-06-23,True
REC1008,Bharat Recovery Associates,authorised_recycler,Rajarhat,Rajarhat,22.607204,88.48089300000001,LCD/LED panel|Mixed plastic|Motor & magnet-bearing,MH/EW/2019/9167,expired,2025-12-04,+91-9198382607,0.896,True,10,35,72,4.4,20,2025-08-18,True
REC1009,Green Resource Solutions Pvt Ltd,authorised_dismantler,Howrah,Howrah,22.598894,88.258665,Battery|LCD/LED panel|Mixed plastic|PCB,MH/EW/2025/4596,expiring_soon,2026-09-05,+91-9788894081,0.964,False,0,50,24,4.8,120,2026-06-23,True
REC1010,Om Metals Enterprises,authorised_recycler,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.589758,88.419781,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/8333,expired,2026-01-22,+91-9273226092,1.081,True,0,8,24,4.3,350,2026-03-13,True
REC1011,Maharashtra Metals Pvt Ltd,authorised_recycler,New Town,New Town,22.588303,88.470955,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2023/9477,active,2028-10-23,+91-9676177079,1.036,True,5,35,72,4.1,200,2025-05-13,True
REC1012,Vidarbha Urban Mining Enterprises,authorised_recycler,Park Street,Park Street,22.555571999999998,88.35076600000001,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/5595,active,2027-09-04,+91-9795085214,1.015,True,10,12,12,5.0,350,2025-02-24,True
REC1013,Trimurti E-Waste Industries,authorised_recycler,Ballygunge,Ballygunge,22.523926999999997,88.361567,CRT|Cable|Motor & magnet-bearing,MH/EW/2024/6971,active,2027-09-29,+91-9814783794,1.017,False,10,50,2,4.1,20,2025-08-15,True
REC1014,EcoCircle Recovery Associates,authorised_aggregator,Gariahat,Gariahat,22.522075,88.365437,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2021/1239,expiring_soon,2026-10-27,+91-9365016023,1.044,False,50,25,6,4.8,20,2025-10-29,True
REC1015,Konkan Recovery Solutions Pvt Ltd,authorised_aggregator,Behala,Behala,22.501870999999998,88.317197,Battery|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2020/3356,active,2028-08-06,+91-9455856910,1.01,True,25,8,24,3.6,200,2026-04-11,True
REC1016,Ganesh E-Waste Associates,authorised_recycler,Tollygunge,Tollygunge,22.498762,88.350131,Battery|CRT|LCD/LED panel|Motor & magnet-bearing|PCB,MH/EW/2020/3091,active,2027-06-10,+91-9248232006,0.968,False,0,15,2,4.6,350,2025-01-29,True
REC1017,Ganesh Materials Industries,authorised_aggregator,Dum Dum,Dum Dum,22.640785,88.43172,Battery|CRT|Cable|LCD/LED panel|Mixed plastic,MH/EW/2021/2818,active,2029-01-24,+91-9978530629,0.958,True,50,15,48,4.4,120,2026-06-25,True
REC1018,EcoCircle Enviro Associates,authorised_aggregator,Rajarhat,Rajarhat,22.613294,88.48118500000001,Cable|Mixed plastic|PCB,MH/EW/2022/6248,active,2028-06-18,+91-9186770753,1.007,False,0,20,2,4.4,350,2025-10-04,True
REC1019,Vishwa Recovery Industries,authorised_aggregator,Howrah,Howrah,22.599417,88.264374,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/7875,active,2028-03-10,+91-9610171659,1.114,False,0,50,24,4.2,120,2026-01-05,True
REC1020,Om Enviro LLP,authorised_aggregator,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.588746,88.413258,CRT|Motor & magnet-bearing|PCB,MH/EW/2024/1323,expired,2025-08-05,+91-9280658520,0.993,True,50,25,2,4.4,80,2025-07-27,True
REC1021,EcoCircle Scrap Enterprises,authorised_recycler,New Town,New Town,22.587179,88.472294,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/2639,expiring_soon,2026-10-15,+91-9436401213,0.968,True,0,15,6,4.2,200,2025-12-28,True
REC1022,Ganesh Recovery Solutions Pvt Ltd,authorised_recycler,Park Street,Park Street,22.546798,88.349728,Cable|LCD/LED panel|PCB,MH/EW/2019/3813,active,2028-03-02,+91-9521386991,1.08,True,5,25,12,3.9,500,2026-06-03,True
REC1023,Om Scrap Recycling Pvt Ltd,authorised_recycler,Ballygunge,Ballygunge,22.524009999999997,88.36338,Battery|LCD/LED panel|Mixed plastic,MH/EW/2022/6467,active,2028-11-15,+91-9966422091,0.962,True,0,35,24,4.3,200,2026-07-21,True
