material,category,item_type,locality,unit,quantity,quality,days_index,date,base_reference_price,price,city,synthetic
Mix Plastic,Plastic,mixed,Durgapura,kg,30.8,mixed,165,2026-08-17,7.0,7.21,Jaipur,true
Mix Plastic,Plastic,mixed,Sodala,kg,96.6,mixed,49,2026-04-23,7.0,6.36,Jaipur,true
Mix Plastic,Plastic,mixed,Vaishali Nagar,kg,72.1,clean,50,2026-04-24,7.0,7.42,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,17.2,mixed,128,2026-07-11,7.0,6.07,Jaipur,true
Mix Plastic,Plastic,mixed,Vaishali Nagar,kg,113.8,dirty,63,2026-05-07,7.0,5.64,Jaipur,true
Mix Plastic,Plastic,mixed,Airport Area,kg,105.1,clean,143,2026-07-26,7.0,7.21,Jaipur,true
Mix Plastic,Plastic,mixed,Sodala,kg,20.4,damaged,147,2026-07-30,7.0,4.93,Jaipur,true
Mix Plastic,Plastic,mixed,Mahesh Nagar,kg,6.4,mixed,55,2026-04-29,7.0,6.65,Jaipur,true
Mix Plastic,Plastic,mixed,Mansarovar,kg,62.8,clean,163,2026-08-15,7.0,8.45,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,97.4,clean,99,2026-06-12,7.0,6.74,Jaipur,true
Mix Plastic,Plastic,mixed,Durgapura,kg,1.8,mixed,111,2026-06-24,7.0,6.16,Jaipur,true
Mix Plastic,Plastic,mixed,Sodala,kg,85.1,damaged,160,2026-08-12,7.0,5.63,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,51.6,mixed,69,2026-05-13,7.0,6.21,Jaipur,true
Mix Plastic,Plastic,mixed,Vaishali Nagar,kg,48.6,mixed,109,2026-06-22,7.0,6.58,Jaipur,true
Mix Plastic,Plastic,mixed,C-Scheme,kg,80.5,damaged,137,2026-07-20,7.0,5.01,Jaipur,true
Mix Plastic,Plastic,mixed,Barkat Nagar,kg,11.1,dirty,173,2026-08-25,7.0,6.37,Jaipur,true
Mix Plastic,Plastic,mixed,Raja Park,kg,82.0,dirty,10,2026-03-15,7.0,5.76,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,112.1,mixed,143,2026-07-26,7.0,6.48,Jaipur,true
Mix Plastic,Plastic,mixed,Ramnagariya,kg,5.1,mixed,92,2026-06-05,7.0,5.3,Jaipur,true
Mix Plastic,Plastic,mixed,Model Town,kg,25.4,dirty,141,2026-07-24,7.0,5.63,Jaipur,true
Mix Plastic,Plastic,mixed,Durgapura,kg,36.2,dirty,15,2026-03-20,7.0,5.61,Jaipur,true
Mix Plastic,Plastic,mixed,Model Town,kg,75.2,mixed,112,2026-06-25,7.0,6.57,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,36.0,mixed,33,2026-04-07,7.0,6.11,Jaipur,true
Mix Plastic,Plastic,mixed,Model Town,kg,82.8,clean,13,2026-03-18,7.0,7.15,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,105.1,mixed,120,2026-07-03,7.0,6.81,Jaipur,true
Mix Plastic,Plastic,mixed,Durgapura,kg,86.4,mixed,175,2026-08-27,7.0,7.39,Jaipur,true
Mix Plastic,Plastic,mixed,Civil Lines,kg,78.3,mixed,4,2026-03-09,7.0,7.35,Jaipur,true
Mix Plastic,Plastic,mixed,Airport Area,kg,69.2,mixed,112,2026-06-25,7.0,6.6,Jaipur,true
Mix Plastic,Plastic,mixed,Adarsh Nagar,kg,77.7,damaged,109,2026-06-22,7.0,4.5,Jaipur,true
Mix Plastic,Plastic,mixed,Hasanpura,kg,85.8,mixed,106,2026-06-19,7.0,6.94,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,58.2,mixed,103,2026-06-16,7.0,6.22,Jaipur,true
Mix Plastic,Plastic,mixed,Malviya Nagar,kg,118.7,damaged,101,2026-06-14,7.0,4.46,Jaipur,true
Mix Plastic,Plastic,mixed,Shyam Nagar,kg,56.2,mixed,133,2026-07-16,7.0,6.34,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,61.8,dirty,116,2026-06-29,7.0,5.49,Jaipur,true
Mix Plastic,Plastic,mixed,Barkat Nagar,kg,46.6,mixed,139,2026-07-22,7.0,6.86,Jaipur,true
Mix Plastic,Plastic,mixed,Shyam Nagar,kg,110.5,dirty,30,2026-04-04,7.0,5.44,Jaipur,true
Mix Plastic,Plastic,mixed,Mansarovar,kg,28.2,dirty,136,2026-07-19,7.0,5.74,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,43.1,damaged,55,2026-04-29,7.0,4.49,Jaipur,true
Mix Plastic,Plastic,mixed,Mansarovar,kg,117.3,mixed,58,2026-05-02,7.0,6.74,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,63.6,dirty,69,2026-05-13,7.0,5.28,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,14.1,damaged,19,2026-03-24,7.0,5.03,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,96.2,mixed,30,2026-04-04,7.0,6.36,Jaipur,true
Mix Plastic,Plastic,mixed,Barkat Nagar,kg,7.8,dirty,83,2026-05-27,7.0,5.24,Jaipur,true
Mix Plastic,Plastic,mixed,Shyam Nagar,kg,92.4,dirty,46,2026-04-20,7.0,5.27,Jaipur,true
Mix Plastic,Plastic,mixed,Barkat Nagar,kg,21.1,mixed,130,2026-07-13,7.0,6.67,Jaipur,true
Mix Plastic,Plastic,mixed,Mahesh Nagar,kg,41.7,dirty,11,2026-03-16,7.0,5.85,Jaipur,true
Mix Plastic,Plastic,mixed,Tonk Road,kg,118.1,dirty,4,2026-03-09,7.0,5.78,Jaipur,true
Mix Plastic,Plastic,mixed,MI Road,kg,55.7,clean,153,2026-08-05,7.0,7.24,Jaipur,true
Mix Plastic,Plastic,mixed,Civil Lines,kg,89.3,mixed,88,2026-06-01,7.0,6.06,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,36.3,mixed,163,2026-08-15,7.0,6.92,Jaipur,true
Mix Plastic,Plastic,mixed,Mahesh Nagar,kg,45.3,clean,70,2026-05-14,7.0,6.49,Jaipur,true
Mix Plastic,Plastic,mixed,Barkat Nagar,kg,43.2,mixed,40,2026-04-14,7.0,6.89,Jaipur,true
Mix Plastic,Plastic,mixed,Barkat Nagar,kg,91.7,mixed,141,2026-07-24,7.0,7.2,Jaipur,true
Mix Plastic,Plastic,mixed,Mahesh Nagar,kg,53.7,mixed,71,2026-05-15,7.0,6.33,Jaipur,true
Mix Plastic,Plastic,mixed,Vaishali Nagar,kg,10.6,clean,77,2026-05-21,7.0,6.35,Jaipur,true
Mix Plastic,Plastic,mixed,Civil Lines,kg,79.5,dirty,148,2026-07-31,7.0,5.89,Jaipur,true
Mix Plastic,Plastic,mixed,Model Town,kg,67.4,clean,15,2026-03-20,7.0,7.26,Jaipur,true
Mix Plastic,Plastic,mixed,Durgapura,kg,118.6,dirty,162,2026-08-14,7.0,6.42,Jaipur,true
Mix Plastic,Plastic,mixed,Vaishali Nagar,kg,20.6,clean,40,2026-04-14,7.0,7.29,Jaipur,true
Mix Plastic,Plastic,mixed,Mansarovar,kg,39.4,mixed,93,2026-06-06,7.0,6.11,Jaipur,true
Mix Plastic,Plastic,mixed,Hasanpura,kg,21.2,dirty,2,2026-03-07,7.0,6.25,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,57.4,damaged,148,2026-07-31,7.0,4.87,Jaipur,true
Mix Plastic,Plastic,mixed,Shyam Nagar,kg,39.8,clean,76,2026-05-20,7.0,5.77,Jaipur,true
Mix Plastic,Plastic,mixed,C-Scheme,kg,106.0,clean,91,2026-06-04,7.0,6.2,Jaipur,true
Mix Plastic,Plastic,mixed,Shyam Nagar,kg,25.0,clean,99,2026-06-12,7.0,6.07,Jaipur,true
Mix Plastic,Plastic,mixed,Ramnagariya,kg,31.3,dirty,165,2026-08-17,7.0,5.7,Jaipur,true
Mix Plastic,Plastic,mixed,Civil Lines,kg,113.0,mixed,167,2026-08-19,7.0,7.56,Jaipur,true
Mix Plastic,Plastic,mixed,Mahesh Nagar,kg,81.5,dirty,14,2026-03-19,7.0,6.18,Jaipur,true
