lot_id,collector_id,created_at,material_category,sub_category,material_code,item_count,description_voice_transcript,transcript_language,input_method,image_ref,weight_kg,weight_source,condition,source_type,collection_city,collection_area,collection_lat,collection_lng,estimated_value_informal,estimated_value_formal,predicted_category,prediction_confidence,prediction_accepted_by_user,created_offline
LOT103443,COL2397,2025-03-01T07:23,Motor & magnet-bearing,Compressor motor,MTR-CMP,3,8 kilo motor,hi,voice,img/lots/103443.jpg,7.9,spring_balance,intact,office_clearance,Nagpur,Sitabuldi,21.134759,79.00477,438.92,519.43,Motor & magnet-bearing,0.929,True,False
LOT114445,COL2027,2025-03-01T07:47,Battery,Lead-acid,BAT-PB,2,laptop battery 2 kilo,hi,icon_keypad,img/lots/114445.jpg,1.8,spring_balance,intact,household_pickup,Mumbai,Mankhurd,19.153506,72.887479,154.66,174.91,Battery,0.919,True,True
LOT101572,COL2336,2025-03-01T07:50,PCB,RAM / gold-finger,PCB-RAM,5,computer ka board 4 kilo,mr,voice,img/lots/101572.jpg,3.8,spring_balance,intact,office_clearance,Pune,Hadapsar,18.542505,73.829117,7210.5,9066.0,LCD/LED panel,0.572,False,False
LOT117821,COL2369,2025-03-01T07:52,PCB,Motherboard (high grade),PCB-MBH,9,computer ka board 10 kilo,hi,icon_keypad,img/lots/117821.jpg,10.4,platform_scale,intact,office_clearance,Pimpri-Chinchwad,Chinchwad,18.708963,73.84338,6053.53,7741.14,Motor & magnet-bearing,0.492,False,False
LOT111458,COL2243,2025-03-01T08:08,LCD/LED panel,Monitor panel,LCD-MON,4,24 kilo panel,hi,voice,img/lots/111458.jpg,24.3,spring_balance,intact,household_pickup,Nashik,Deolali,19.991202,73.887517,767.15,932.88,LCD/LED panel,0.844,True,False
LOT108386,COL2369,2025-03-01T08:26,CRT,Colour TV tube,CRT-CTV,3,juna TV monitor 49 kilo,hi,voice,img/lots/108386.jpg,48.8,spring_balance,partially_dismantled,other_collector,Pimpri-Chinchwad,Akurdi,18.629272,73.803054,719.8,961.85,CRT,0.973,True,True
LOT103111,COL2334,2025-03-01T08:32,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,5,18 kilo hard disk,mr,voice,img/lots/103111.jpg,18.1,estimated,intact,other_collector,Nashik,Cidco,20.02411,73.745539,1254.87,1512.07,LCD/LED panel,0.545,False,False
LOT115956,COL2129,2025-03-01T09:00,PCB,TV / appliance board (low grade),PCB-LOW,6,motherboard 11 kilo,mr,icon_keypad,img/lots/115956.jpg,10.9,spring_balance,partially_dismantled,household_pickup,Pune,Vishrantwadi,18.588246,73.906662,1428.45,1857.25,PCB,0.852,True,True
LOT106097,COL2020,2025-03-01T09:33,Cable,Mixed insulated,CBL-MIX,5,"100 kilo copper cable, purana",mr,icon_keypad,img/lots/106097.jpg,99.9,platform_scale,intact,household_pickup,Mumbai,Bhandup,19.138109,72.868648,8555.44,9386.6,Cable,0.911,True,True
LOT109106,COL2172,2025-03-01T09:45,CRT,Monochrome monitor tube,CRT-MON,3,49 kilo purana TV tube,mr,voice,img/lots/109106.jpg,48.9,platform_scale,waterlogged,household_pickup,Mumbai,Mankhurd,19.105865,72.825992,539.86,709.54,CRT,0.8,True,True
