recycler_id,name,facility_type,city,industrial_estate,lat,lng,materials_accepted,cpcb_registration_no,authorisation_status,authorisation_valid_till,contact_phone,offered_rate_multiplier,pickup_available,min_lot_weight_kg,service_area_radius_km,avg_settlement_hours,rating,capacity_tonnes_per_month,verified_on,is_synthetic
REC1000,Sahyadri Materials Solutions Pvt Ltd,authorised_aggregator,Pune,Hadapsar IE,18.491869,73.946043,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2019/4437,expiring_soon,2026-10-05,+91-9421159385,0.96,True,0,15,24,3.7,350,2025-03-13,True
REC1001,Trimurti Recyclers Associates,authorised_recycler,Nagpur,Kalmeshwar MIDC,21.234281,78.936805,Cable|Motor & magnet-bearing|PCB,MH/EW/2019/4077,active,2029-01-13,+91-9240610412,1.038,True,5,35,72,3.9,200,2026-07-27,True
REC1002,Shree Enviro Pvt Ltd,authorised_aggregator,Nagpur,Kalmeshwar MIDC,21.234049,78.898754,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2022/3424,active,2028-11-21,+91-9553016330,1.025,True,10,12,6,4.0,50,2026-05-21,True
REC1003,EcoCircle Scrap Solutions Pvt Ltd,authorised_aggregator,Mumbai,Taloja MIDC,19.042535,73.082611,Battery|CRT|Cable|LCD/LED panel|PCB,MH/EW/2024/3107,active,2027-05-05,+91-9887069161,0.941,False,5,35,2,4.3,200,2025-08-06,True
REC1004,Vishwa Materials Pvt Ltd,authorised_aggregator,Mumbai,Mahape MIDC,19.089469,72.988527,Battery|CRT|LCD/LED panel,MH/EW/2020/5310,suspended,2027-08-21,+91-9703933839,0.919,True,50,20,6,4.6,50,2025-12-11,True
REC1005,Jai Materials Enterprises,authorised_aggregator,Pune,Hadapsar IE,18.508503,73.926714,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2024/9826,expiring_soon,2026-11-08,+91-9332780068,1.007,False,10,12,6,4.4,200,2026-02-11,True
REC1006,EcoCircle Urban Mining Pvt Ltd,authorised_recycler,Pune,Bhosari MIDC,18.612589,73.826611,Cable|LCD/LED panel|Motor & magnet-bearing,MH/EW/2023/9930,active,2027-05-04,+91-9239167153,0.99,True,50,25,2,4.2,80,2025-11-25,True
REC1007,Green Recyclers LLP,authorised_recycler,Pune,Hadapsar IE,18.478203,73.912642,Battery|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2022/2839,active,2028-04-04,+91-9975170415,1.01,False,10,12,2,4.7,200,2025-06-23,True
REC1008,Bharat Recovery Associates,authorised_recycler,Mumbai,Ambernath MIDC,19.200497,73.188382,LCD/LED panel|Mixed plastic|Motor & magnet-bearing,MH/EW/2019/9167,expired,2025-12-04,+91-9198382607,0.896,True,10,35,72,4.4,20,2025-08-18,True
REC1009,Green Resource Solutions Pvt Ltd,authorised_dismantler,Pimpri-Chinchwad,Kasarwadi,18.624229,73.812682,Battery|LCD/LED panel|Mixed plastic|PCB,MH/EW/2025/4596,expiring_soon,2026-09-05,+91-9788894081,0.964,False,0,50,24,4.8,120,2026-06-23,True
REC1010,Om Metals Enterprises,authorised_recycler,Mumbai,Ambernath MIDC,19.169603,73.191316,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/8333,expired,2026-01-22,+91-9273226092,1.081,True,0,8,24,4.3,350,2026-03-13,True
REC1011,Maharashtra Metals Pvt Ltd,authorised_recycler,Pune,Hadapsar IE,18.505498,73.917334,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2023/9477,active,2028-10-23,+91-9676177079,1.036,True,5,35,72,4.1,200,2025-05-13,True
REC1012,Vidarbha Urban Mining Enterprises,authorised_recycler,Mumbai,Kurla Industrial Estate,19.051579,72.877861,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/5595,active,2027-09-04,+91-9795085214,1.015,True,10,12,12,5.0,350,2025-02-24,True
REC1013,Trimurti E-Waste Industries,authorised_recycler,Nagpur,Kalmeshwar MIDC,21.224069,78.915987,CRT|Cable|Motor & magnet-bearing,MH/EW/2024/6971,active,2027-09-29,+91-9814783794,1.017,False,10,50,2,4.1,20,2025-08-15,True
REC1014,EcoCircle Recovery Associates,authorised_aggregator,Nagpur,Hingna MIDC,21.127708,78.961071,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2021/1239,expiring_soon,2026-10-27,+91-9365016023,1.044,False,50,25,6,4.8,20,2025-10-29,True
REC1015,Konkan Recovery Solutions Pvt Ltd,authorised_aggregator,Pune,Hadapsar IE,18.490549,73.938886,Battery|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2020/3356,active,2028-08-06,+91-9455856910,1.01,True,25,8,24,3.6,200,2026-04-11,True
REC1016,Ganesh E-Waste Associates,authorised_recycler,Mumbai,Mahape MIDC,19.09417,72.984504,Battery|CRT|LCD/LED panel|Motor & magnet-bearing|PCB,MH/EW/2020/3091,active,2027-06-10,+91-9248232006,0.968,False,0,15,2,4.6,350,2025-01-29,True
REC1017,Ganesh Materials Industries,authorised_aggregator,Nagpur,Butibori MIDC,20.924287,79.001457,Battery|CRT|Cable|LCD/LED panel|Mixed plastic,MH/EW/2021/2818,active,2029-01-24,+91-9978530629,0.958,True,50,15,48,4.4,120,2026-06-25,True
REC1018,EcoCircle Enviro Associates,authorised_aggregator,Pune,Chakan MIDC,18.744455,73.854611,Cable|Mixed plastic|PCB,MH/EW/2022/6248,active,2028-06-18,+91-9186770753,1.007,False,0,20,2,4.4,350,2025-10-04,True
REC1019,Vishwa Recovery Industries,authorised_aggregator,Mumbai,Ambernath MIDC,19.197379,73.19812,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/7875,active,2028-03-10,+91-9610171659,1.114,False,0,50,24,4.2,120,2026-01-05,True
REC1020,Om Enviro LLP,authorised_aggregator,Mumbai,Kurla Industrial Estate,19.0699,72.887271,CRT|Motor & magnet-bearing|PCB,MH/EW/2024/1323,expired,2025-08-05,+91-9280658520,0.993,True,50,25,2,4.4,80,2025-07-27,True
REC1021,EcoCircle Scrap Enterprises,authorised_recycler,Pune,Chakan MIDC,18.795498,73.884911,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/2639,expiring_soon,2026-10-15,+91-9436401213,0.968,True,0,15,6,4.2,200,2025-12-28,True
REC1022,Ganesh Recovery Solutions Pvt Ltd,authorised_recycler,Pune,Hadapsar IE,18.487957,73.956083,Cable|LCD/LED panel|PCB,MH/EW/2019/3813,active,2028-03-02,+91-9521386991,1.08,True,5,25,12,3.9,500,2026-06-03,True
REC1023,Om Scrap Recycling Pvt Ltd,authorised_recycler,Pune,Bhosari MIDC,18.607421,73.843564,Battery|LCD/LED panel|Mixed plastic,MH/EW/2022/6467,active,2028-11-15,+91-9966422091,0.962,True,0,35,24,4.3,200,2026-07-21,True
REC1024,Green Materials Enterprises,authorised_aggregator,Pune,Hadapsar IE,18.525282,73.926857,Battery|Cable|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2021/4241,expiring_soon,2026-10-09,+91-9930538562,1.049,False,50,25,2,4.4,50,2025-07-27,True
