trace_id,lot_id,txn_id,handover_ref,photo_refs,photo_reused_from_other_lot,scale_photo_ref,weight_kg,gps_lat,gps_lng,gps_accuracy_m,captured_at,device_offline_at_capture,synced_at,sync_lag_minutes,recycler_confirmed_at,confirmation_method,downstream_status,epr_credit_reference
TRC700000,LOT103443,TXN500000,KC-AYJT99,img/lots/118931.jpg|img/handover/500000_0.jpg|img/handover/500000_1.jpg,True,img/scale/500000.jpg,8.3,21.234281,78.936805,12,2025-03-04T12:42,True,2025-03-04T21:23,521,2025-03-04T16:54,qr_scan,awaiting_confirmation,
TRC700001,LOT101572,TXN500002,KC-DNCC3V,img/lots/101572.jpg|img/handover/500001_0.jpg,False,img/scale/500001.jpg,3.8,18.491869,73.946043,9,2025-03-03T10:13,False,2025-03-03T10:13,0,2025-03-03T18:44,qr_scan,sent_for_recovery,EPR/MH/2026/20039
TRC700002,LOT117821,TXN500003,KC-YJETDM,img/lots/117821.jpg|img/handover/500002_0.jpg,False,img/scale/500002.jpg,9.8,18.620266,73.821743,35,2025-03-04T23:50,False,2025-03-04T23:52,2,2025-03-05T03:55,code_entry,received_at_facility,EPR/MH/2026/59637
TRC700003,LOT111458,TXN500004,KC-X6CKWK,img/lots/111458.jpg|img/handover/500003_0.jpg,False,img/scale/500003.jpg,24.1,20.007228,73.704275,18,2025-03-04T18:58,False,2025-03-04T19:01,3,2025-03-05T09:25,qr_scan,recovery_complete,EPR/MH/2025/35131
TRC700004,LOT103111,TXN500005,KC-MRRF3P,img/lots/103111.jpg|img/handover/500004_0.jpg|img/handover/500004_1.jpg,False,img/scale/500004.jpg,19.2,19.961843,73.714173,35,2025-03-02T20:47,False,2025-03-02T20:49,2,2025-03-03T03:08,spoken_code,received_at_facility,
TRC700005,LOT115956,TXN500006,KC-9KMKPY,img/lots/115956.jpg|img/handover/500005_0.jpg,False,img/scale/500005.jpg,10.8,18.490549,73.938886,33,2025-03-02T21:10,False,2025-03-02T21:12,2,2025-03-03T04:51,qr_scan,awaiting_confirmation,EPR/MH/2026/87950
TRC700006,LOT106097,TXN500007,KC-TXMDAM,img/lots/106097.jpg|img/handover/500006_0.jpg|img/handover/500006_1.jpg,False,img/scale/500006.jpg,103.4,19.197379,73.19812,48,2025-03-04T23:47,False,2025-03-04T23:48,1,2025-03-05T17:53,qr_scan,recovery_complete,EPR/MH/2026/67634
TRC700007,LOT113602,TXN500008,KC-4AULDJ,img/lots/113602.jpg|img/handover/500007_0.jpg|img/handover/500007_1.jpg,False,img/scale/500007.jpg,22.6,18.744455,73.854611,11,2025-03-05T02:41,True,2025-03-05T10:51,490,2025-03-05T13:34,code_entry,sent_for_recovery,EPR/MH/2026/69633
TRC700008,LOT110061,TXN500009,KC-DJ7YJ3,img/lots/110061.jpg|img/handover/500008_0.jpg|img/handover/500008_1.jpg,False,img/scale/500008.jpg,11.0,18.600139,73.85014,15,2025-03-02T08:40,False,2025-03-02T08:43,3,2025-03-02T20:35,qr_scan,recovery_complete,EPR/MH/2026/15098
TRC700009,LOT104819,TXN500010,KC-ED6M6R,img/lots/104819.jpg|img/handover/500009_0.jpg|img/handover/500009_1.jpg,False,img/scale/500009.jpg,5.2,19.067752,73.07251,7,2025-03-05T04:41,True,2025-03-05T12:18,457,2025-03-05T18:12,spoken_code,recovery_complete,
