txn_id,lot_image_ref,lot_id,collector_id,recycler_id,material_category,material_code,weight_kg,weight_verified_kg,quoted_price,final_price,informal_benchmark_value,collection_city,collection_lat,collection_lng,handover_lat,handover_lng,handover_distance_km,quoted_at,handed_over_at,confirmed_at,settled_at,payment_mode,payment_status,txn_status,pickup_by_recycler,recycler_authorisation_at_txn,recycler_authorised_at_txn,is_anomaly,anomaly_type
TXN500000,img/lots/103443.jpg,LOT103443,COL2397,REC1001,Motor & magnet-bearing,MTR-CMP,7.9,8.3,539.17,575.63,438.92,Nagpur,21.134759,79.00477,21.234281,78.936805,13.12,2025-03-02T02:49,2025-03-04T12:42,2025-03-04T16:54,,upi,paid,confirmed,True,active,True,True,duplicate_photo
TXN500001,img/lots/114445.jpg,LOT114445,COL2027,REC1019,Battery,BAT-PB,1.8,1.7,194.85,0.0,154.66,Mumbai,19.153506,72.887479,19.197379,73.19812,32.99,2025-03-01T18:58,,,,cash,not_due,cancelled,False,active,True,False,
TXN500002,img/lots/101572.jpg,LOT101572,COL2336,REC1000,PCB,PCB-RAM,3.8,3.8,8703.36,8503.22,7210.5,Pune,18.542505,73.829117,18.491869,73.946043,13.55,2025-03-01T22:24,2025-03-03T10:13,2025-03-03T18:44,2025-03-04T13:08,upi,paid,settled,False,expiring_soon,True,False,
TXN500003,img/lots/117821.jpg,LOT117821,COL2369,REC1032,PCB,PCB-MBH,10.4,9.8,7919.19,7735.14,6053.53,Pimpri-Chinchwad,18.708963,73.84338,18.620266,73.821743,10.12,2025-03-01T22:36,2025-03-04T23:50,2025-03-05T03:55,2025-03-08T15:41,cash,paid,settled,False,active,True,False,
TXN500004,img/lots/111458.jpg,LOT111458,COL2243,REC1042,LCD/LED panel,LCD-MON,24.3,24.1,933.81,932.87,767.15,Nashik,19.991202,73.887517,20.007228,73.704275,19.23,2025-03-02T03:36,2025-03-04T18:58,2025-03-05T09:25,2025-03-06T22:18,cash,paid,settled,True,active,True,False,
TXN500005,img/lots/103111.jpg,LOT103111,COL2334,REC1069,Motor & magnet-bearing,MTR-SML,18.1,19.2,1561.97,1603.59,1254.87,Nashik,20.02411,73.745539,19.961843,73.714173,7.66,2025-03-02T12:51,2025-03-02T20:47,2025-03-03T03:08,2025-03-06T21:13,cash,paid,settled,True,active,True,False,
TXN500006,img/lots/115956.jpg,LOT115956,COL2129,REC1015,PCB,PCB-LOW,10.9,10.8,1875.82,1863.16,1428.45,Pune,18.588246,73.906662,18.490549,73.938886,11.38,2025-03-01T19:01,2025-03-02T21:10,2025-03-03T04:51,2025-03-03T10:04,cash,paid,settled,False,active,True,False,
TXN500007,img/lots/106097.jpg,LOT106097,COL2020,REC1019,Cable,CBL-MIX,99.9,103.4,10456.67,10801.26,8555.44,Mumbai,19.138109,72.868648,19.197379,73.19812,35.23,2025-03-01T10:13,2025-03-04T23:47,2025-03-05T17:53,,cash,pending,confirmed,False,active,True,False,
TXN500008,img/lots/113602.jpg,LOT113602,COL2207,REC1018,Cable,CBL-ARM,21.3,22.6,3109.91,3366.31,2871.45,Pune,18.52685,73.848365,18.744455,73.854611,24.21,2025-03-02T07:58,2025-03-05T02:41,2025-03-05T13:34,2025-03-05T13:54,cash,paid,settled,False,active,True,False,
TXN500009,img/lots/110061.jpg,LOT110061,COL2129,REC1040,Cable,CBL-CU,10.9,11.0,3091.73,3100.83,3068.46,Pune,18.524999,73.887299,18.600139,73.85014,9.23,2025-03-01T18:14,2025-03-02T08:40,2025-03-02T20:35,2025-03-02T23:42,upi,paid,settled,False,active,True,False,
